nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
GR143,33483,32453,6973,0,0,0,8934,0,0,178997,96616
GR144,31758,30945,4405,0,0,0,8211,0,0,152096,83941
GR211,16642,18343,1915,0,0,0,3313,0,0,81750,46054
GR212,11454,10457,1482,0,0,0,1624,0,0,57475,28330
GR213,32704,31411,4281,0,0,0,7560,0,0,170151,88619
GR214,13525,13897,1644,0,0,0,2995,0,0,65087,36282
GR221,7971,5631,947,0,0,0,2518,0,0,42961,20139
GR222,19113,14865,2892,0,0,0,5797,0,0,109000,52064
GR223,6523,5824,1408,0,0,0,3131,0,0,56600,20269
GR224,4451,4401,618,0,0,0,1642,0,0,28568,13287
GR231,52117,45708,5067,0,0,0,9117,0,0,242336,124903
GR232,67071,42074,7261,0,0,0,11074,0,0,275499,148685
GR233,41819,30526,4016,0,0,0,4943,0,0,180008,92199
GR241,24158,18958,4683,0,0,0,5397,0,0,112386,61775
GR242,44888,33480,7361,0,0,0,8320,0,0,207031,109433
GR243,6113,5452,726,0,0,0,556,0,0,32946,14420
GR244,34996,36628,6269,0,0,0,5460,0,0,155407,94257
GR245,8555,9694,1858,0,0,0,1997,0,0,46263,25678
GR251,19125,21222,3087,0,0,0,3042,0,0,96976,53141
GR252,21333,21143,4158,0,0,0,3719,0,0,134357,58495
GR253,30032,25783,5571,0,0,0,3491,0,0,140149,75394
GR254,14896,22922,4024,0,0,0,2916,0,0,133734,50794
GR255,31213,39005,6406,0,0,0,6859,0,0,206579,96079
GR300,476468,382339,127704,0,0,0,154774,0,0,2898233,1430329
GR411,20703,16095,2998,0,0,0,8544,0,0,137031,56811
GR412,7356,6332,1344,0,0,0,4462,0,0,53983,23276
GR413,11350,8967,1466,0,0,0,1756,0,0,65744,27634
GR421,39740,24508,5605,0,0,0,4164,0,0,184486,84887
GR422,22301,20855,3305,0,0,0,3328,0,0,122549,60657
GR431,85498,33236,4755,0,0,0,7431,0,0,247415,148345
GR432,22375,11171,1364,0,0,0,1630,0,0,69046,41618
GR433,19623,11058,2133,0,0,0,1823,0,0,70161,40395
GR434,33164,19566,4478,0,0,0,5242,0,0,141044,74164
GRZZZ,8527,10188,1707,0,0,0,2397,0,0,36413,25430
HU101,134416,290118,0,0,26907,75914,0,39413,0,1352562,602872
HU102,53333,201257,0,0,7817,59024,0,19255,0,940655,354892
HU211,19965,69828,0,0,2007,16523,0,6512,0,345911,118902
HU212,17772,46861,0,0,1586,10594,0,4853,0,251753,84540
HU213,17258,63197,0,0,1667,14131,0,5615,0,297355,105140
HU221,19494,87663,0,0,1794,15981,0,7401,0,356975,135958
HU222,10945,56220,0,0,1368,7607,0,4078,0,213059,82229
HU223,12063,52048,0,0,1255,10672,0,4248,0,238086,82447
HU231,18913,62255,0,0,1742,11118,0,5498,0,321263,103862
HU232,14369,55993,0,0,1087,9520,0,3640,0,264868,87020
HU233,10117,42472,0,0,826,7704,0,3143,0,194712,65969
HU311,35423,90153,0,0,2108,42011,0,7427,0,564568,183582
HU312,16773,43676,0,0,1461,17594,0,4132,0,255645,87245
HU313,10536,32160,0,0,719,11117,0,2592,0,169740,59509
HU321,18098,87231,0,0,1661,24600,0,7555,0,432506,143868
HU322,17558,52743,0,0,1399,18806,0,4706,0,323084,98869
HU323,19930,80762,0,0,1461,26030,0,5890,0,443320,140805
HU331,19152,94088,0,0,2148,17869,0,6339,0,431391,144000
HU332,16854,56516,0,0,1326,16397,0,4532,0,306544,99031
HU333,19777,65397,0,0,1995,14051,0,6621,0,338248,112127
